reporting_week,reporting_date,product_pillar,product_group,gross_revenue_actual,net_revenue_actual,gross_revenue_budget,net_revenue_budget,gross_revenue_2_10_forecast,net_revenue_2_10_forecast
2023-12-11,2023-12-15,Money Management,issuing,367724.1148,121637.8784,,,,
2025-03-03,2025-03-07,Money Management,issuing,600561.1934,250540.1061,,,,
2025-02-24,2025-03-02,Money Management,issuing,519412.92,216686.9414,,,,
2026-08-31,2026-09-02,Money Management,issuing,,,1015802.979,471033.1934,1011638.161,477116.633
2025-12-15,2025-12-15,Money Management,issuing,582227.4225,265566.8185,,,,
2025-09-22,2025-09-24,Money Management,issuing,603193.5725,261061.936,,,,
2023-10-30,2023-10-30,Money Management,issuing,228246.5206,123219.513,,,,
2024-02-05,2024-02-11,Money Management,issuing,270399.8355,143621.6001,,,,
2023-11-27,2023-11-28,Money Management,issuing,375285.4337,189189.0902,,,,
2025-10-20,2025-10-21,Money Management,issuing,549352.3251,233972.5133,,,,
2024-04-22,2024-04-27,Money Management,issuing,448540.1917,245103.0911,,,,
2023-05-29,2023-05-31,Money Management,issuing,235897.3963,123143.7635,,,,
2023-12-04,2023-12-05,Money Management,issuing,329141.2753,108875.2268,,,,
2023-03-06,2023-03-08,Money Management,issuing,329305.8793,157768.4955,,,,
2026-03-02,2026-03-06,Money Management,issuing,792361.8641,373230.7731,628068.848,280335.5773,624107.6863,290477.6068
2026-07-13,2026-07-14,Money Management,issuing,,,669481.2267,304191.2388,663381.6046,309574.9257
2025-09-08,2025-09-12,Money Management,issuing,645942.4837,279563.6476,,,,
2026-04-13,2026-04-15,Money Management,issuing,688507.2847,331479.1078,619519.9928,277719.864,613146.429,288433.0663
2024-10-28,2024-11-03,Money Management,issuing,353849.7284,184667.8591,,,,
2026-05-11,2026-05-12,Money Management,issuing,,,649215.4175,286775.6838,637221.0709,297645.2193
2026-12-21,2026-12-23,Money Management,issuing,,,893919.0566,413712.3917,846358.3334,400156.2816
2024-02-26,2024-02-28,Money Management,issuing,398637.1757,211734.2599,,,,
2024-07-22,2024-07-23,Money Management,issuing,426049.7416,209143.1169,,,,
